"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"691","ML01R05C024","KAYES","KITA","ML01R05","KOBRY","ML01R05C024","CSCOM","2006",17,65,"OUI","OMS Survey",NA,-9.899903654,13.1160621091,NA
"692","ML01R07C014","KAYES","YELIMANE","ML01R07","KODJE","ML01R07C014","CSCOM","2002",1,15,"OUI","OMS Survey",NA,-10.5296227796,15.2013997241,NA
"693",NA,"SEGOU","Baroueli",NA,"KODOUGOUNI","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-6.646092,12.973193,NA
"694","ML04R04C004","SEGOU","MACINA","ML04R04","KOE","ML04R04C004","CSCOM","1998",11,105,"OUI","OMS Survey",NA,-4.92614000021,13.7295499996,NA
"695",NA,"KAYES","Kita",NA,"KOFEBA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-9.58544,13.026984,NA
"696",NA,"KAYES","KENIEBA",NA,"KOFOULABE","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-11.069388,12.212435,NA
"697","ML04R05C008","SEGOU","MARKALA","ML04R05","KOILA","ML04R05C008","CSCOM","2002",7,0,"OUI","OMS Survey",NA,-5.68952000038,13.5718900004,NA
"698",NA,"SIKASSO","Koutiala",NA,"KOKO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Present dans 2 commune du meme cercle Koutiala",NA,NA,NA
"699",NA,"KOULIKORO","Kati",NA,"KOKO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","2 villages",NA,NA,NA
"700","ML01R05C026","KAYES","KITA","ML01R05","KOKOFATA","ML01R05C026","CSCOM","2008",7,1,"OUI","OMS Survey",NA,-9.87428999959,12.6632299999,NA
"701","ML03R08C009","SIKASSO","YANFOLILA","ML03R08","KOKOUN","ML03R08C009","CSCOM","2006",2,13,NA,"OMS Survey",NA,-7.87365365211,10.74084722,NA
"702","ML04R04C005","SEGOU","MACINA","ML04R04","KOKRY","ML04R04C005","CSCOM","1995",19,18,"NON","OMS Survey",NA,-5.5136874,13.955128348,NA
"703","ML03R02C020","SIKASSO","BOUGOUNI","ML03R02","KOLA","ML03R02C020","CSCOM","2006",5,94,"OUI","OMS Survey",NA,-6.833,11.539999908,NA
"704","ML02R03C009","KOULIKORO","DIOILA","ML02R03","KOLA","ML02R03C009","CSCOM","1995",2,15,"OUI","OMS Survey",NA,-6.8402700001,12.0722199998,NA
"705","ML02R01C006","KOULIKORO","KOULIKORO","ML02R01","KOLEBOUGOU","ML02R01C006","CSCOM","1994",11,3,"OUI","OMS Survey",NA,-7.7011499998,12.8752499998,NA
"706","ML02R02C008","KOULIKORO","BANAMBA","ML02R02","KOLOBO","ML02R02C008","CSCOM","2005",6,25,"OUI","OMS Survey",NA,-7.23669999979,13.4546799999,NA
"707","ML03R02C021","SIKASSO","BOUGOUNI","ML03R02","KOLOGO","ML03R02C021","CSCOM","1997",21,21,"OUI","OMS Survey",NA,-7.48436240175,11.2204235954,NA
"708","ML02R07C004","KOULIKORO","KOLOKANI","ML02R07","KOLOKANI CENT0AL","ML02R07C004","CSCOM","1999",24,1,"OUI","OMS Survey",NA,-8.034720402,13.571176723,NA
"709","ML02R07C000","KOULIKORO","KOLOKANI","ML02R07","KOLOKANI CSREF","ML02R07C000","CSRef","1996",0,120,NA,"OMS Survey",NA,-8.034720402,13.571176723,NA
"710","ML03R01C027","SIKASSO","SIKASSO","ML03R01","KOLOKOBA","ML03R01C027","CSCOM","1997",12,52,"OUI","OMS Survey",NA,-5.99820327537,11.2094343454,NA
"711","ML03R05C009","SIKASSO","KOLONDIEBA","ML03R05","KOLONDIEBA CENTRAL","ML03R05C009","CSCOM","2008",26,0,"OUI","OMS Survey",NA,-6.892828401,11.08354147,NA
"712","ML03R05C000","SIKASSO","KOLONDIEBA","ML03R05","KOLONDIEBA CSREF","ML03R05C000","CSRef","1994",0,200,NA,"OMS Survey",NA,-6.892828401,11.08354147,NA
"713","ML01R02C014","KAYES","OUSSOUBIDIAGNA","ML01R02","KOLONDINKOYE","ML01R02C014","CSCOM","2010",10,78,"NON","OMS Survey",NA,-10.6587787797,14.3058049183,NA
"714","ML04R04C006","SEGOU","MACINA","ML04R04","KOLONGO","ML04R04C006","CSCOM","1995",41,45,"NON","OMS Survey",NA,-5.68706365,13.872880223,NA
"715",NA,"SEGOU","MACINA",NA,"KOLONGOTOMO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-5.687064,13.87288,NA
"716","ML03R06C014","SIKASSO","KOUTIALA","ML03R06","KOLONI","ML03R06C014","CSCOM","2011",3,55,"OUI","OMS Survey",NA,-5.3272994,12.7640047182,NA
"717","ML03R08C010","SIKASSO","YANFOLILA","ML03R08","KOLONI","ML03R08C010","CSCOM","2006",7,85,"OUI","OMS Survey",NA,-7.76245640201,11.0370257202,NA
"718",NA,"SIKASSO","Yanfolila",NA,"KOLONI YANFOLILA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-7.762456,11.037026,NA
"719","ML03R05C010","SIKASSO","KOLONDIEBA","ML03R05","KOLOSSO","ML03R05C010","CSCOM","2010",9,48,"OUI","OMS Survey",NA,-6.549441776,11.11307447,NA
"720","ML05R01C007","MOPTI","MOPTI","ML05R01","KOMOGUEL 1","ML05R01C007","CSCOM","2006",9,0,"NON","OMS Survey",NA,-4.19694000009,14.4614400001,NA
"721","ML04R06C010","SEGOU","NIONO","ML04R06","KOMOLA","ML04R06C010","CSCOM","1994",6,20,"OUI","OMS Survey",NA,-6.02312000012,13.8974900004,NA
"722","ML04R05C009","SEGOU","MARKALA","ML04R05","KOMOLA - ZAFINA","ML04R05C009","CSCOM","2009",7,15,NA,"OMS Survey",NA,NA,NA,NA
"723","ML06R02C009","TOMBOUCTOU","DIRE","ML06R02","KONDI","ML06R02C009","CSCOM","2004",9,18,"OUI","OMS Survey",NA,-3.475824523,16.36718085,NA
"724","ML05R07C009","MOPTI","TENENKOU","ML05R07","KONDO","ML05R07C009","CSCOM","2004",14,13,"NON","OMS Survey",NA,-4.855000024,14.546111099,NA
