"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"344","ML05R07C004","MOPTI","TENENKOU","ML05R07","DIONDIORI","ML05R07C004","CSCOM","1995",32,25,"NON","OMS Survey",NA,-4.774713899,14.608531849,NA
"345","ML01R07C005","KAYES","YELIMANE","ML01R07","DIONGAGA","ML01R07C005","CSCOM","1996",8,50,"NON","OMS Survey",NA,-10.881944655,15.076389349,NA
"346","ML04R08C003","SEGOU","TOMINIAN","ML04R08","DIORA","ML04R08C003","CSCOM","2000",15,78,"OUI","OMS Survey",NA,-4.67330302413,12.8573445969,NA
"347","ML04R05C003","SEGOU","MARKALA","ML04R05","DIORO","ML04R05C003","CSCOM","1995",3,31,"OUI","OMS Survey",NA,-5.832970275,13.687182348,NA
"348","ML03R03C002","SIKASSO","KADIOLO","ML03R03","DIOU","ML03R03C002","CSCOM","1996",8,25,"OUI","OMS Survey",NA,-5.972,10.59,NA
"349","ML06R05C007","TOMBOUCTOU","NIAFUNKE","ML06R05","DIOULABOUGOU - NIAFUNKE","ML06R05C007","CSCOM","2004",46,0,"NON","OMS Survey",NA,-4.05153999974,16.0245000001,NA
"350","ML01R03C007","KAYES","DIEMA","ML01R03","DIOUMARA","ML01R03C007","CSCOM","2000",18,75,"NON","OMS Survey",NA,-8.566053903,14.537849349,NA
"351","ML03R03C003","SIKASSO","KADIOLO","ML03R03","DIOUMATENE","ML03R03C003","CSCOM","1998",5,18,"OUI","OMS Survey",NA,-5.90747022569,10.5316495903,NA
"352","ML04R01C006","SEGOU","SEGOU","ML04R01","DIOUNA","ML04R01C006","CSCOM","2006",15,65,"OUI","OMS Survey",NA,-5.82134015,13.430637722,NA
"353","ML05R06C008","MOPTI","KORO","ML05R06","DIOUNGANI","ML05R06C008","CSCOM","1996",12,52,"NON","OMS Survey",NA,-2.739015522,14.312877223,NA
"354","ML01R05C010","KAYES","KITA","ML01R05","DIOUNGOUNTE","ML01R05C010","CSCOM","1999",5,220,"NON","OMS Survey",NA,-10.0443000002,13.9263900004,NA
"355","ML05R07C005","MOPTI","TENENKOU","ML05R07","DIOURA","ML05R07C005","CSCOM","1997",18,65,"OUI","OMS Survey",NA,-5.17079000001,14.9072900003,NA
"356","ML06R02C004","TOMBOUCTOU","DIRE","ML06R02","DIRE CENTRAL","ML06R02C004","CSCOM","2010",10,0,"OUI","OMS Survey",NA,-3.400139398,16.256706475,NA
"357","ML06R02C000","TOMBOUCTOU","DIRE","ML06R02","DIRE CSREF","ML06R02C000","CSRef","2004",0,123,NA,"OMS Survey",NA,-3.400139398,16.256706475,NA
"358","ML01R04C005","KAYES","KENIEBA","ML01R04","DITTIN","ML01R04C005","CSCOM","2010",6,155,"OUI","OMS Survey",NA,-10.6485766547,12.0735020962,NA
"359","ML04R07C006","SEGOU","SAN","ML04R07","DJEBALA","ML04R07C006","CSCOM","1996",18,45,"NON","OMS Survey",NA,-5.11194000031,13.4756899997,NA
"360","ML07R01C007","GAO","GAO","ML07R01","DJEBOCK","ML07R01C007","CSCOM","1999",11,45,"OUI","OMS Survey",NA,0.297710980000033,16.3411296,NA
"361","ML04R07C007","SEGOU","SAN","ML04R07","DJEGUENA","ML04R07C007","CSCOM","2007",8,30,"OUI","OMS Survey",NA,-5.105364525,13.189865722,NA
"362","ML02R04C005","KOULIKORO","FANA","ML02R04","DJELE","ML02R04C005","CSCOM","1999",4,90,"OUI","OMS Survey",NA,-7.36188000017,12.2736099999,NA
"363","ML05R04C002","MOPTI","DJENNE","ML05R04","DJENNE CENT0AL","ML05R04C002","CSCOM","1994",21,0,"NON","OMS Survey",NA,-4.557280274,13.905765973,NA
"364","ML05R04C000","MOPTI","DJENNE","ML05R04","DJENNE CSREF","ML05R04C000","CSREF","2011",0,135,NA,"OMS Survey",NA,-4.557280274,13.905765973,NA
"365","ML04R05C004","SEGOU","MARKALA","ML04R05","DJIBOUGOU","ML04R05C004","CSCOM","2011",6,0,"OUI","OMS Survey",NA,-6.00571000043,13.6124399997,NA
"366","ML01R05C011","KAYES","KITA","ML01R05","DJIDIAN","ML01R05C011","CSCOM","1995",12,20,"NON","OMS Survey",NA,-9.61139999991,13.4082400003,NA
"367","ML02R08C009","KOULIKORO","NARA","ML02R08","DJIGUE","ML02R08C009","CSCOM","2006",19,145,"OUI","OMS Survey",NA,-7.61600000017,14.6046199998,NA
"368","ML03R02C011","SIKASSO","BOUGOUNI","ML03R02","DJINE","ML03R02C011","CSCOM","2006",1,50,"OUI","OMS Survey",NA,-7.388,11.13,NA
"369","ML01R01C012","KAYES","KAYES","ML01R01","DJINGUILOU","ML01R01C012","CSCOM","2008",8,70,"NON","OMS Survey",NA,-11.012038252,14.2505190891,NA
"370","ML03R06C005","SIKASSO","KOUTIALA","ML03R06","DJITAMANA","ML03R06C005","CSCOM","2007",5,57,"NON","OMS Survey",NA,-5.63789215003,12.2431042214,NA
"371","ML02R06C015","KOULIKORO","KATI","ML02R06","DJOLIBA","ML02R06C015","CSCOM","2005",12,0,"NON","OMS Survey",NA,-8.16326999993,12.3993499998,NA
"372",NA,"KAYES","OUSSOUBIDIAGNA",NA,"DJOUFOYA TINTOKA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-10.368365,13.913378,NA
"373","ML01R05C012","KAYES","KITA","ML01R05","DJOUGOUN","ML01R05C012","CSCOM","2008",6,191,"NON","OMS Survey",NA,-9.606771404,14.259631598,NA
"374","ML02R04C006","KOULIKORO","FANA","ML02R04","DJOUMAZANA","ML02R04C006","CSCOM","1997",21,60,"OUI","OMS Survey",NA,-7.35995000032,12.4698999999,NA
"375","ML06R05C008","TOMBOUCTOU","NIAFUNKE","ML06R05","DOFANA","ML06R05C008","CSCOM","2006",14,74,"OUI","OMS Survey",NA,-4.45471670911,15.796698595,NA
"376","ML05R02C006","MOPTI","BANDIAGARA","ML05R02","DOGANI - BERE","ML05R02C006","CSCOM","2011",14,67,"OUI","OMS Survey",NA,-3.423642398,14.893651349,NA
"377","ML05R08C003","MOPTI","YOUWAROU","ML05R08","DOGO","ML05R08C003","CSCOM","2000",10,100,"OUI","OMS Survey",NA,-4.429882149,15.165835474,NA
"378","ML03R02C012","SIKASSO","BOUGOUNI","ML03R02","DOGO-BOUGOUNI","ML03R02C012","CSCOM","1997",28,85,NA,"OMS Survey",NA,-7.333346402,11.886387846,NA
"379","ML02R06C016","KOULIKORO","KATI","ML02R06","DOGODOUMA","ML02R06C016","CSCOM","2007",3,16,"OUI","OMS Survey",NA,-8.02261999975,12.5325400004,NA
"380","ML01R07C006","KAYES","YELIMANE","ML01R07","DOGOFRI","ML01R07C006","CSCOM","2002",3,50,"OUI","OMS Survey",NA,-10.94055553,15.012499849,NA
"381","ML04R06C007","SEGOU","NIONO","ML04R06","DOGOFRY","ML04R06C007","CSCOM","1994",24,75,"OUI","OMS Survey",NA,-6.02861115,14.775555599,NA
"382","ML03R04C001","SIKASSO","KIGNAN","ML03R04","DOGONI","ML03R04C001","CSCOM","1997",15,60,"OUI","OMS Survey",NA,-6.003284525,12.134853346,NA
"383","ML02R03C006","KOULIKORO","DIOILA","ML02R03","DOLENDOUGOU","ML02R03C006","CSCOM","2011",1,40,"OUI","OMS Survey",NA,-6.47427000038,12.5863099999,NA
"384","ML03R02C013","SIKASSO","BOUGOUNI","ML03R02","DOMBA","ML03R02C013","CSCOM","2005",17,110,NA,"OMS Survey",NA,-6.889385526,11.727012971,NA
"385","ML01R04C006","KAYES","KENIEBA","ML01R04","DOMBIA","ML01R04C006","CSCOM","2004",65,65,"OUI","OMS Survey",NA,-11.050833655,12.780555722,NA
"386","ML02R06C017","KOULIKORO","KATI","ML02R06","DOMBILA","ML02R06C017","CSCOM","2005",13,22,"OUI","OMS Survey",NA,-8.21830000012,12.9529099996,NA
"387",NA,"GAO","Gao",NA,"DOREYE","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-0.411111111,15.81916667,NA
"388","ML04R02C004","SEGOU","BAROUELI","ML04R02","DOTEMBOUGOU","ML04R02C004","CSCOM","1998",7,23,"OUI","OMS Survey",NA,-6.69753000025,13.2621999998,NA
"389","ML01R02C010","KAYES","OUSSOUBIDIAGNA","ML01R02","DOUALE","ML01R02C010","CSCOM","2008",4,155,"OUI","OMS Survey",NA,-10.5320900001,14.3418500002,NA
"390","ML02R06C018","KOULIKORO","KATI","ML02R06","DOUBABOUGOU KATI","ML02R06C018","CSCOM","2007",9,12,"OUI","OMS Survey",NA,-8.182959527,12.705795347,NA
"391","ML02R07C002","KOULIKORO","KOLOKANI","ML02R07","DOUBABOUGOU KOLOKANI","ML02R07C002","CSCOM","2005",12,55,"NON","OMS Survey",NA,-7.91647000018,14.1423299999,NA
"392",NA,"SIKASSO","Kignan",NA,"DOUBANABA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-5.933245,11.666048,NA
"393","ML06R03C003","TOMBOUCTOU","GOUNDAM","ML06R03","DOUEKIRE","ML06R03C003","CSCOM","2005",17,45,"OUI","OMS Survey",NA,-3.372587148,16.57110035,NA
"394","ML05R05C006","MOPTI","DOUENTZA","ML05R05","DOUENTZA CENT0AL","ML05R05C006","CSCOM","2005",5,1,"OUI","OMS Survey",NA,-2.951200648,14.9923515245,NA
"395","ML05R05C000","MOPTI","DOUENTZA","ML05R05","DOUENTZA CSREF","ML05R05C000","CSREF","1999",0,175,NA,"OMS Survey",NA,-2.951200648,14.9923515245,NA
"396","ML04R05C005","SEGOU","MARKALA","ML04R05","DOUGABOUGOU","ML04R05C005","CSCOM","2006",15,1,"NON","OMS Survey",NA,-6.115607025,13.815167723,NA
"397","ML04R06C008","SEGOU","NIONO","ML04R06","DOUGOUBA","ML04R06C008","CSCOM","2006",1,65,"OUI","OMS Survey",NA,-5.94442000035,14.84463,NA
"398","ML04R02C005","SEGOU","BAROUELI","ML04R02","DOUGOUFE","ML04R02C005","CSCOM","2000",6,62,"OUI","OMS Survey",NA,-6.630000151,13.315833097,NA
"399","ML03R01C007","SIKASSO","SIKASSO","ML03R01","DOUGOUKOLOBOUGOU","ML03R01C007","CSCOM","1998",5,90,"OUI","OMS Survey",NA,-6.494,11.44,NA
"400","ML04R03C008","SEGOU","BLA","ML04R03","DOUGOUOLO","ML04R03C008","CSCOM","1993",8,25,"OUI","OMS Survey",NA,-5.56632465,12.922859597,NA
"401","ML03R01C008","SIKASSO","SIKASSO","ML03R01","DOUMANABA","ML03R01C008","CSCOM","1996",9,23,"NON","OMS Survey",NA,-5.933245275,11.666048471,NA
"402","ML03R01C009","SIKASSO","SIKASSO","ML03R01","DOUMANANI","ML03R01C009","CSCOM","1998",4,90,"OUI","OMS Survey",NA,-6.174240276,11.677449221,NA
"403","ML02R01C002","KOULIKORO","KOULIKORO","ML02R01","DOUMBA","ML02R01C002","CSCOM","2011",1,1,"OUI","OMS Survey",NA,-7.49860000034,13.0708699997,NA
"404","ML03R09C003","SIKASSO","YOROSSO","ML03R09","DOUNA","ML03R09C003","CSCOM","2009",4,48,"OUI","OMS Survey",NA,-4.77688964923,12.0508368462,NA
"405",NA,"SIKASSO","Yorosso",NA,"DOUNA YOROSSO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-4.77689,12.050837,NA
"406","ML05R03C006","MOPTI","BANKASS","ML05R03","DOUNDE","ML05R03C006","CSCOM","2001",20,35,"OUI","OMS Survey",NA,-3.7142300001,13.9988900002,NA
"407","ML04R01C007","SEGOU","SEGOU","ML04R01","DOURA","ML04R01C007","CSCOM","2010",15,45,"OUI","OMS Survey",NA,-6.208272651,13.926424473,NA
"408","ML04R05C006","SEGOU","MARKALA","ML04R05","DOURA","ML04R05C006","CSCOM","2005",7,25,"OUI","OMS Survey",NA,-6.01481999988,13.6887099998,NA
"409","ML05R02C007","MOPTI","BANDIAGARA","ML05R02","DOUROU","ML05R02C007","CSCOM","1999",31,21,"OUI","OMS Survey",NA,-3.434971023,14.301464848,NA
"410","ML03R08C003","SIKASSO","YANFOLILA","ML03R08","DOUSSOUDIANA","ML03R08C003","CSCOM","1996",2,14,NA,"OMS Survey",NA,-7.80621565205,11.1477463453,NA
"411","ML01R01C013","KAYES","KAYES","ML01R01","DRAMANE","ML01R01C013","CSCOM","1994",4,55,NA,"OMS Survey",NA,-11.9027799998,14.6169399998,NA
"412",NA,"TOMBOUCTOU","Gourma-Rharous",NA,"EBANGUE MALENE","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Non localise",NA,NA,NA
"413","ML06R03C004","TOMBOUCTOU","GOUNDAM","ML06R03","ECHELL","ML06R03C004","CSCOM","2004",8,80,"OUI","OMS Survey",NA,-3.94300439845,16.2726809751,NA
"414","ML06R04C004","TOMBOUCTOU","GOURMA-RHAROUS","ML06R04","EGACHAR","ML06R04C004","CSCOM","1999",NA,95,NA,"OMS Survey","Non localise",NA,NA,NA
"415","ML05R03C007","MOPTI","BANKASS","ML05R03","ENDE","ML05R03C007","CSCOM","2005",7,12,"OUI","OMS Survey",NA,-3.50150999993,14.1635299996,NA
"416","ML06R01C010","TOMBOUCTOU","TOMBOUCTOU","ML06R01","ERINTEDJEFT","ML06R01C010","CSCOM","2008",1,80,"OUI","OMS Survey",NA,-2.14186999959,18.6981399997,NA
"417","ML07R03C008","GAO","BOUREM","ML07R03","ERSANE","ML07R03C008","CSCOM","1999",20,190,"OUI","OMS Survey",NA,-0.42666999967,18.5060000001,NA
"418","ML06R03C005","TOMBOUCTOU","GOUNDAM","ML06R03","ESSAKANE","ML06R03C005","CSCOM","2006",6,45,"OUI","OMS Survey",NA,-3.633312023,16.780059476,NA
"419","ML09R01C004","KIDAL","KIDAL","ML09R01","ESSOUK","ML09R01C004","CSCOM","2006",6,65,"NON","OMS Survey",NA,1.19114299980261,18.7642360001,NA
"420","ML09R01C005","KIDAL","KIDAL","ML09R01","ETAMBAR","ML09R01C005","CSCOM","2002",2,2,"NON","OMS Survey",NA,1.40152300004435,18.4443090003,NA
"421",NA,"GAO","Ansongo",NA,"FAFA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,0.746311355913662,15.3200605992,NA
"422","ML03R05C003","SIKASSO","KOLONDIEBA","ML03R05","FAKOLA","ML03R05C003","CSCOM","1996",10,47,"OUI","OMS Survey",NA,-6.91909340123,10.5444293448,NA
"423","ML02R06C019","KOULIKORO","KATI","ML02R06","FALADIE","ML02R06C019","CSCOM","2005",20,75,"NON","OMS Survey",NA,-8.338186778,13.135816222,NA
"424","ML02R04C007","KOULIKORO","FANA","ML02R04","FALAKO","ML02R04C007","CSCOM","2001",5,50,"OUI","OMS Survey",NA,-7.17983835593,12.586335994,NA
"425","ML02R06C020","KOULIKORO","KATI","ML02R06","FALANI","ML02R06C020","CSCOM","2005",8,60,"NON","OMS Survey",NA,-7.52446000005,12.3871400002,NA
"426","ML01R04C007","KAYES","KENIEBA","ML01R04","FALEA","ML01R04C007","CSCOM","2005",7,1,"OUI","OMS Survey",NA,-11.273423655,12.261339471,NA
"427",NA,"SEGOU","Segou",NA,"FALEMA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-6.061315,13.334668,NA
"428","ML02R08C010","KOULIKORO","NARA","ML02R08","FALLOU","ML02R08C010","CSCOM","1997",8,120,"OUI","OMS Survey",NA,-7.930167402,14.593525599,NA
"429","ML04R03C009","SEGOU","BLA","ML04R03","FALO","ML04R03C009","CSCOM","1996",10,65,"OUI","OMS Survey",NA,-6.238730651,12.909847347,NA
"430","ML03R01C010","SIKASSO","SIKASSO","ML03R01","FAMA","ML03R01C010","CSCOM","1996",12,25,"OUI","OMS Survey",NA,-5.69166665,11.5347223571,NA
"431","ML04R01C008","SEGOU","SEGOU","ML04R01","FAMORILA","ML04R01C008","CSCOM","2008",6,120,"OUI","OMS Survey",NA,-5.48890999991,13.4167199998,NA
"432","ML03R06C006","SIKASSO","KOUTIALA","ML03R06","FAMOUSSASSO","ML03R06C006","CSCOM","2006",3,30,NA,"OMS Survey",NA,-5.31495915,12.4549849529,NA
"433","ML02R04C008","KOULIKORO","FANA","ML02R04","FANA CENTRAL","ML02R04C008","CSCOM","2007",9,2,"OUI","OMS Survey",NA,-6.959215401,12.777093722,NA
"434","ML02R04C000","KOULIKORO","FANA","ML02R04","FANA CSREF","ML02R04C000","CSRef","1999",0,120,NA,"OMS Survey",NA,-6.959215401,12.777093722,NA
"435","ML01R07C007","KAYES","YELIMANE","ML01R07","FANGA","ML01R07C007","CSCOM","1993",4,25,"NON","OMS Survey",NA,-10.416485029,15.003701099,NA
"436","ML04R08C004","SEGOU","TOMINIAN","ML04R08","FANGASSO","ML04R08C004","CSCOM","1995",29,45,"NON","OMS Survey",NA,-4.445368899,13.521928598,NA
"437","ML04R03C010","SEGOU","BLA","ML04R03","FANI","ML04R03C010","CSCOM","1996",11,75,"OUI","OMS Survey",NA,-5.37087915,13.178124222,NA
"438",NA,"SIKASSO","Kadiolo",NA,"FANIDIAMA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-5.571221,10.481505,NA
"439","ML03R01C011","SIKASSO","SIKASSO","ML03R01","FANTARASSO","ML03R01C011","CSCOM","2011",7,32,"OUI","OMS Survey",NA,-5.90192527528,11.168960608,NA
"440","ML05R08C004","MOPTI","YOUWAROU","ML05R08","FAOU","ML05R08C004","CSCOM","2007",20,65,"OUI","OMS Survey",NA,-3.94340277345,15.5076487244,NA
"441","ML03R07C003","SIKASSO","SELINGUE","ML03R07","FARABA","ML03R07C003","CSCOM","2008",3,1,"OUI","OMS Survey",NA,-8.312,11.38,NA
"442","ML01R04C008","KAYES","KENIEBA","ML01R04","FARABA KENIEBA","ML01R04C008","CSCOM","2004",9,85,"NON","OMS Survey",NA,-10.89911178,12.429525972,NA
"443","ML02R09C007","KOULIKORO","OUELESSEBOUGOU","ML02R09","FARABA-KATI","ML02R09C007","CSCOM","1999",8,30,"NON","OMS Survey",NA,-8.146989277,11.903238471,NA
"444","ML02R06C021","KOULIKORO","KATI","ML02R06","FARABANA","ML02R06C021","CSCOM","2011",1,0,"OUI","OMS Survey",NA,-8.12166666733,12.4569444441,NA
"445","ML01R03C008","KAYES","DIEMA","ML01R03","FARABOUGOU","ML01R03C008","CSCOM","2006",1,30,"OUI","OMS Survey",NA,-9.56700999987,14.5189200001,NA
"446","ML02R06C022","KOULIKORO","KATI","ML02R06","FARADA","ML02R06C022","CSCOM","2006",1,0,"OUI","OMS Survey",NA,-8.07212999985,12.7678600004,NA
"447","ML03R02C014","SIKASSO","BOUGOUNI","ML03R02","FARAGOUARAN","ML03R02C014","CSCOM","1999",16,35,"OUI","OMS Survey",NA,-7.771626527,11.309201846,NA
"448","ML03R01C012","SIKASSO","SIKASSO","ML03R01","FARAKALA","ML03R01C012","CSCOM","2003",14,43,"NON","OMS Survey",NA,-6.010000275,11.358888596,NA
"449","ML04R01C009","SEGOU","SEGOU","ML04R01","FARAKO","ML04R01C009","CSCOM","1996",12,120,"NON","OMS Survey",NA,-6.389028276,13.4069947219,NA
"450","ML03R05C004","SIKASSO","KOLONDIEBA","ML03R05","FARAKO-KOLONDIEBA","ML03R05C004","CSCOM","1996",4,25,NA,"OMS Survey",NA,-6.848755151,10.8243666876,NA
"451","ML01R03C009","KAYES","DIEMA","ML01R03","FASSOUDEBE","ML01R03C009","CSCOM","2006",3,75,"NON","OMS Survey",NA,-9.475555404,15.137499849,NA
"452","ML04R06C009","SEGOU","NIONO","ML04R06","FASSOUN IBATOU","ML04R06C009","CSCOM","2003",7,30,"OUI","OMS Survey",NA,-5.87116000031,14.5828399999,NA
"453","ML01R03C010","KAYES","DIEMA","ML01R03","FATAO","ML01R03C010","CSCOM","2009",2,65,"OUI","OMS Survey",NA,-9.530343154,14.322517723,NA
"454","ML04R01C010","SEGOU","SEGOU","ML04R01","FATINE","ML04R01C010","CSCOM","2003",26,120,"OUI","OMS Survey",NA,-5.28142000031,13.4304600004,NA
"455","ML05R01C005","MOPTI","MOPTI","ML05R01","FATOMA","ML05R01C005","CSCOM","1996",22,21,"OUI","OMS Survey",NA,-4.060348774,14.610343349,NA
"456","ML01R01C014","KAYES","KAYES","ML01R01","FEGUI","ML01R01C014","CSCOM","2007",1,95,"OUI","OMS Survey",NA,-12.146807281,14.621023099,NA
"457","ML03R06C007","SIKASSO","KOUTIALA","ML03R06","FERME","ML03R06C007","CSCOM","2005",7,39,"OUI","OMS Survey",NA,-5.68731152508,12.6168599717,NA
"458","ML02R05C002","KOULIKORO","KANGABA","ML02R05","FIGUIRATOMO","ML02R05C002","CSCOM","1999",8,7,"NON","OMS Survey",NA,-8.34103000008,11.8510000001,NA
"459","ML03R08C004","SIKASSO","YANFOLILA","ML03R08","FILAMANA","ML03R08C004","CSCOM","1999",13,80,NA,"OMS Survey",NA,-7.949410027,10.500652845,NA
"460","ML03R01C013","SIKASSO","SIKASSO","ML03R01","FINKOLO AC","ML03R01C013","CSCOM","2001",40,18,"OUI","OMS Survey",NA,-5.5117934,11.26440022,NA
"461","ML03R01C014","SIKASSO","SIKASSO","ML03R01","FINKOLO Ganadougou","ML03R01C014","CSCOM","2001",12,89,"OUI","OMS Survey",NA,-6.198499151,11.2208052371,NA
"462","ML04R07C008","SEGOU","SAN","ML04R07","FION","ML04R07C008","CSCOM","2003",7,75,"NON","OMS Survey",NA,-4.718013024,13.404747097,NA
"463","ML02R03C007","KOULIKORO","DIOILA","ML02R03","FISSABA","ML02R03C007","CSCOM","2005",9,80,"OUI","OMS Survey",NA,-6.67393000009,11.9793600002,NA
"464",NA,"SIKASSO","Yanfolila",NA,"FLABOUGOULA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-8.127969,10.959078,NA
"465","ML01R05C013","KAYES","KITA","ML01R05","FLADOUGOU BANKASSI","ML01R05C013","CSCOM","2005",3,45,"OUI","OMS Survey",NA,-9.10708999992,13.2546700003,NA
"466","ML01R05C014","KAYES","KITA","ML01R05","FLADOUGOU MADINA","ML01R05C014","CSCOM","2005",1,118,"OUI","OMS Survey",NA,-8.87421000007,13.6087199996,NA
"467","ML01R05C015","KAYES","KITA","ML01R05","FLADOUGOU MARENA","ML01R05C015","CSCOM","2011",2,45,"OUI","OMS Survey",NA,-9.14927999977,13.3731899996,NA
"468","ML03R02C015","SIKASSO","BOUGOUNI","ML03R02","FOGOBA","ML03R02C015","CSCOM","2008",3,95,NA,"OMS Survey",NA,-7.44261000024,12.0397799998,NA
"469","ML03R01C015","SIKASSO","SIKASSO","ML03R01","FOH","ML03R01C015","CSCOM","2000",2,1,"OUI","OMS Survey",NA,-5.778,11.79,NA
"470","ML04R04C001","SEGOU","MACINA","ML04R04","FOLOMANA","ML04R04C001","CSCOM","1998",15,65,"OUI","OMS Survey",NA,-5.15549415,13.598294723,NA
"471","ML03R06C008","SIKASSO","KOUTIALA","ML03R06","FONFONA","ML03R06C008","CSCOM","1999",4,57,"OUI","OMS Survey",NA,-5.605833525,12.674166722,NA
"472","ML07R01C008","GAO","GAO","ML07R01","FORGHO","ML07R01C008","CSCOM","1999",4,30,"OUI","OMS Survey",NA,-0.0496549998622,16.339996,NA
"473","ML01R06C007","KAYES","NIORO","ML01R06","FOSSE KAARTA","ML01R06C007","CSCOM","2002",7,15,"NON","OMS Survey",NA,-9.7857000004,15.1989000002,NA
"474","ML03R08C005","SIKASSO","YANFOLILA","ML03R08","FOUGATIE","ML03R08C005","CSCOM","2001",6,10,NA,"OMS Survey",NA,-8.368,11.13,NA
"475",NA,"SIKASSO","Bougouni",NA,"FOULALABA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-7.363064,10.687392,NA
"476",NA,"KAYES","Kita",NA,"FOUNIA-MORIBOUGOU","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-9.476523,12.900082,NA
"477","ML03R03C004","SIKASSO","KADIOLO","ML03R03","FOUROU","ML03R03C004","CSCOM","1996",8,55,"OUI","OMS Survey",NA,-6.144359651,10.740389095,NA
"478","ML01R06C008","KAYES","NIORO","ML01R06","FRANDALAH","ML01R06C008","CSCOM","2008",5,25,NA,"OMS Survey",NA,-9.98111000043,15.1113899998,NA
"479","ML01R01C015","KAYES","KAYES","ML01R01","GABOU","ML01R01C015","CSCOM","2002",3,25,"NON","OMS Survey",NA,-11.2863157803,14.4991023485,NA
"480","ML07R01C009","GAO","GAO","ML07R01","GADEYE","ML07R01C009","CSCOM","2000",1,1,"OUI","OMS Survey",NA,-0.0444350198228,16.2886808501,NA
"481","ML01R06C009","KAYES","NIORO","ML01R06","GADIABA-KADIEL","ML01R06C009","CSCOM","2003",6,15,"OUI","OMS Survey",NA,-9.647777529,15.122221974,NA
"482","ML05R04C003","MOPTI","DJENNE","ML05R04","GAGNA","ML05R04C003","CSCOM","1993",9,18,"NON","OMS Survey",NA,-4.509568274,14.007924973,NA
"483","ML01R01C016","KAYES","KAYES","ML01R01","GAKOURA","ML01R01C016","CSCOM","1994",5,65,"NON","OMS Survey",NA,-11.840833656,14.612222724,NA
"484","ML01R05C016","KAYES","KITA","ML01R05","GALLE","ML01R05C016","CSCOM","2007",5,55,"NON","OMS Survey",NA,-9.504730904,12.579805472,NA
"485","ML05R06C009","MOPTI","KORO","ML05R06","GANGAFANI","ML05R06C009","CSCOM","1995",6,100,"OUI","OMS Survey",NA,-2.38114999998,14.4888599998,NA
"486","ML05R03C008","MOPTI","BANKASS","ML05R03","GANIDAH","ML05R03C008","CSCOM","2011",8,65,"OUI","OMS Survey",NA,-3.59637627313,13.4288910975,NA
"487","ML07R01C000","GAO","GAO","ML07R01","GAO CSREF","ML07R01C000","CSRef","2011",0,1,NA,"OMS Survey",NA,-0.0385693868109,16.2664392028,NA
"488","ML03R02C016","SIKASSO","BOUGOUNI","ML03R02","GARALO","ML03R02C016","CSCOM","1998",14,60,"OUI","OMS Survey",NA,-7.44065258778,10.9716932069,NA
"489","ML03R02C017","SIKASSO","BOUGOUNI","ML03R02","GARALO II","ML03R02C017","CSCOM","2010",8,60,"OUI","OMS Survey",NA,-7.439593152,10.97479022,NA
"490","ML03R06C009","SIKASSO","KOUTIALA","ML03R06","GARASSO","ML03R06C009","CSCOM","2002",8,65,"OUI","OMS Survey",NA,-5.07834389951,12.3697970965,NA
"491","ML06R02C005","TOMBOUCTOU","DIRE","ML06R02","GARBAKOIRA","ML06R02C005","CSCOM","2005",14,50,"NON","OMS Survey",NA,-3.180833398,16.5069446,NA
"492","ML07R03C009","GAO","BOUREM","ML07R03","GARBAME","ML07R03C009","CSCOM","1999",7,175,"OUI","OMS Survey",NA,-0.07519502,16.50458135,NA
"493","ML06R03C006","TOMBOUCTOU","GOUNDAM","ML06R03","GARGANDO","ML06R03C006","CSCOM","2000",16,75,"OUI","OMS Survey",NA,-4.173699899,16.45809635,NA
"494","ML07R01C010","GAO","GAO","ML07R01","GARGOUNA","ML07R01C010","CSCOM","2007",2,65,"OUI","OMS Survey",NA,0.217890605421529,15.9276472248,NA
"495","ML06R02C006","TOMBOUCTOU","DIRE","ML06R02","GARI","ML06R02C006","CSCOM","2004",8,11,"OUI","OMS Survey",NA,-3.299999898,16.3999996,NA
"496","ML04R02C006","SEGOU","BAROUELI","ML04R02","GARNA","ML04R02C006","CSCOM","2005",7,34,"OUI","OMS Survey",NA,-6.73737000013,13.3228899997,NA
"497","ML06R05C009","TOMBOUCTOU","NIAFUNKE","ML06R05","GARNATY","ML06R05C009","CSCOM","2006",15,77,"NON","OMS Survey",NA,-3.50652131878,15.8261042835,NA
